Accident_Index,Latitude,Longitude,Region,Urban_or_Rural_Area,X1st_Road_Class,Driver_IMD_Decile,Speed_limit,Road_Type,Road_Surface_Conditions,Weather,High_Wind,Lights,Datetime,Year,Season,Month_of_Year,Day_of_Month,Day_of_Week,Hour_of_Day,Number_of_Vehicles,Age_of_Driver,Age_of_Vehicle,Junction_Detail,Junction_Location,X1st_Point_of_Impact,Driver_Journey_Purpose,Engine_CC,Propulsion_Code,Vehicle_Make,Vehicle_Category,Vehicle_Manoeuvre,Accident_Severity,Hour_of_Day_dn
2012370390712,51.999178,0.761300,East England,Rural,B,7,60,Single carriageway,Wet or damp,Fine,No,Daylight,2012-09-24 18:25:00,2012,3,9,24,1,0.767000,3,6,4,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,1999,Petrol,Ford,Car,Going ahead,Slight,18.000000
2011551C47077,50.728616,-1.937768,South West England,Urban,B,5,30,Single carriageway,Dry,Fine,No,Daylight,2011-10-11 12:00:00,2011,3,10,11,2,0.500000,2,3,13,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,973,Petrol,Vauxhall,Car,Going ahead,Slight,12.000000
201432B098114,52.784488,-0.153331,East Midlands,Urban,Unclassified,5,30,Single carriageway,Dry,Fine,No,Daylight,2014-03-13 16:10:00,2014,4,3,13,4,0.674000,2,7,11,Private drive or entrance,Entering main road,Front,Commuting to/from work,1339,Petrol,Honda,Car,Going ahead,Slight,16.000000
201204EN12069,53.866689,-2.393751,North West England,Urban,A,7,30,Single carriageway,Dry,Fine,No,Daylight,2012-07-23 12:05:00,2012,2,7,23,1,0.503000,2,4,4,T or staggered junction,Mid Junction - on roundabout or on main road,Nearside,Other/Not known,996,Petrol,Suzuki,Motorcycle,Going ahead,Slight,12.000000
2014131341445,53.607046,-1.284472,Yorkshire and the Humber,Rural,A,5,50,Single carriageway,Dry,Fine,No,Darkness - lights,2014-03-04 19:35:00,2014,4,3,4,2,0.816000,2,4,4,T or staggered junction,Entering main road,Offside,Other/Not known,1386,Petrol,Nissan,Car,Turning left,Slight,20.000000
201350GA2F006,50.310803,-4.801861,South West England,Rural,B,3,60,Single carriageway,Dry,Fine,No,Darkness - no lights,2013-05-19 02:00:00,2013,1,5,19,7,0.083000,1,5,9,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1997,Heavy oil,Peugeot,Van,Going ahead,Slight,2.000000
2012070082707,53.081687,-2.503818,North West England,Rural,A,10,60,Single carriageway,Dry,Fine,No,Daylight,2012-03-25 16:11:00,2012,1,3,25,7,0.674000,3,5,5,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,1968,Heavy oil,Volkswagen,Car,Waiting to go,Slight,16.000000
2010070090148,53.195702,-2.103848,North West England,Rural,A,6,50,Single carriageway,Wet or damp,Fine,No,Daylight,2010-04-01 08:55:00,2010,1,4,1,4,0.372000,1,4,13,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Journey as part of work,2799,Petrol,Mercedes,Car,Going ahead,Slight,9.000000
2010070356791,53.406136,-2.594438,North West England,Urban,A,1,40,Dual carriageway,Dry,Fine,No,Daylight,2010-12-07 09:15:00,2010,3,12,7,2,0.385000,2,7,3,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1242,Petrol,Ford,Car,Going ahead,Fatal_Serious,9.000000
201101CP00067,51.510917,-0.103836,London,Urban,A,2,30,Dual carriageway,Wet or damp,Fine,No,Darkness - lights,2011-02-23 18:11:00,2011,4,2,23,3,0.758000,2,5,11,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1998,Petrol,Toyota,Car,Slowing or stopping,Slight,18.000000
2013331301513,52.460703,-1.206516,East Midlands,Rural,C,8,40,Single carriageway,Dry,Fine,No,Daylight,2013-08-30 08:37:00,2013,2,8,30,5,0.359000,2,5,4,Not at junction or within 20 metres,Not at or within 20 metres of junction,Nearside,Journey as part of work,1796,Petrol,Vauxhall,Car,Overtaking,Slight,9.000000
2010100832810,55.049086,-1.667210,North East England,Rural,Unclassified,1,60,Single carriageway,Frost or ice,Fine,No,Daylight,2010-12-16 15:24:00,2010,3,12,16,4,0.642000,1,6,5,Not at junction or within 20 metres,Not at or within 20 metres of junction,Nearside,Other/Not known,1997,Heavy oil,Citroen,Car,Going ahead,Fatal_Serious,15.000000
201101WW50156,51.452815,-0.188574,London,Urban,Unclassified,2,30,Single carriageway,Dry,Fine,No,Daylight,2011-03-16 11:48:00,2011,4,3,16,3,0.492000,2,4,12,Private drive or entrance,Mid Junction - on roundabout or on main road,Front,Journey as part of work,1275,Petrol,Nissan,Car,Going ahead,Slight,12.000000
2014548977514,51.585076,-1.775357,South West England,Urban,A,7,30,Roundabout,Dry,Fine,No,Daylight,2014-10-05 18:40:00,2014,3,10,5,7,0.778000,2,3,10,Roundabout,Mid Junction - on roundabout or on main road,Front,Other/Not known,1343,Petrol,Kia,Car,U-turn,Slight,19.000000
2013450011642,51.213968,-0.799497,South East England,Urban,A,10,30,One way street,Dry,Unknown,No,Darkness - lights,2013-12-11 20:06:00,2013,3,12,11,3,0.838000,2,1,12,Other junction,Approaching junction or waiting/parked at junction approach,Nearside,Other/Not known,1149,Petrol,Renault,Car,Changing lane,Slight,20.000000
2012460222690,51.377822,0.508441,South East England,Urban,Unclassified,3,30,Roundabout,Dry,Fine,No,Darkness - lights,2012-12-18 19:09:00,2012,3,12,18,2,0.798000,1,1,6,Roundabout,Mid Junction - on roundabout or on main road,Nearside,Other/Not known,100,Petrol,Peugeot,Motorcycle,Going ahead,Slight,19.000000
2010460182244,51.423385,0.463464,South East England,Rural,Unclassified,8,30,Single carriageway,Dry,Fine,No,Daylight,2010-01-20 15:32:00,2010,4,1,20,3,0.647000,1,4,7,T or staggered junction,Approaching junction or waiting/parked at junction approach,Offside,Taking pupil to/from school,1995,Heavy oil,Toyota,Car,Going ahead,Slight,16.000000
201204FA12076,53.789151,-2.220850,North West England,Urban,Unclassified,3,30,Single carriageway,Dry,Fine,No,Daylight,2012-08-05 15:04:00,2012,2,8,5,7,0.628000,2,3,8,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,599,Petrol,Yamaha,Motorcycle,Overtaking,Fatal_Serious,15.000000
2013120101390,53.995748,-1.515133,Yorkshire and the Humber,Urban,A,6,30,Single carriageway,Dry,Fine,No,Daylight,2013-06-20 16:20:00,2013,2,6,20,4,0.681000,2,6,8,T or staggered junction,Mid Junction - on roundabout or on main road,Offside,Other/Not known,1497,Petrol,Nissan,Car,Turning right,Slight,16.000000
201304EL13124,53.778686,-2.412716,North West England,Rural,B,3,50,Single carriageway,Dry,Fine,No,Darkness - lights,2013-09-15 05:14:00,2013,2,9,15,7,0.218000,1,2,12,Not at junction or within 20 metres,Not at or within 20 metres of junction,Nearside,Other/Not known,1199,Petrol,Vauxhall,Car,Going ahead,Fatal_Serious,5.000000
201320W043883,52.509648,-1.940441,Wast Midlands,Urban,A,1,30,Single carriageway,Dry,Fine,No,Daylight,2013-09-02 12:23:00,2013,2,9,2,1,0.516000,1,4,10,Not at junction or within 20 metres,Not at or within 20 metres of junction,Did not impact,Journey as part of work,1896,Heavy oil,Seat,Van,Moving off,Slight,12.000000
2012130194355,53.816344,-1.519089,Yorkshire and the Humber,Urban,Unclassified,1,30,Single carriageway,Dry,Fine,No,Darkness - lighting unknown,2012-05-03 18:22:00,2012,1,5,3,4,0.765000,1,2,8,Crossroads,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1686,Heavy oil,Vauxhall,Car,Going ahead,Slight,18.000000
201411SA24354,54.626159,-1.725023,North East England,Rural,A,2,60,Single carriageway,Dry,Fine,No,Daylight,2014-10-15 07:45:00,2014,3,10,15,3,0.323000,2,2,4,T or staggered junction,Approaching junction or waiting/parked at junction approach,Nearside,Journey as part of work,2198,Heavy oil,Ford,Van,Overtaking,Slight,8.000000
201143W149091,51.458347,-0.893105,South East England,Urban,Unclassified,10,30,Single carriageway,Dry,Fine,No,Darkness - lights,2011-09-06 20:43:00,2011,2,9,6,2,0.863000,2,5,11,T or staggered junction,Entering main road,Front,Other/Not known,1396,Petrol,Honda,Car,Turning right,Slight,21.000000
