,Accident_Index,Latitude,Longitude,Region,Urban_or_Rural_Area,X1st_Road_Class,Driver_IMD_Decile,Speed_limit,Road_Type,Road_Surface_Conditions,Weather,High_Wind,Lights,Datetime,Year,Season,Month_of_Year,Day_of_Month,Day_of_Week,Hour_of_Day,Number_of_Vehicles,Age_of_Driver,Age_of_Vehicle,Junction_Detail,Junction_Location,X1st_Point_of_Impact,Driver_Journey_Purpose,Engine_CC,Propulsion_Code,Vehicle_Make,Vehicle_Category,Vehicle_Manoeuvre,Accident_Severity,Hour_of_Day_dn,IsMajor,WeekDay_type,isMotorcycle
368,2010331003243,52.633590000000005,-1.130396,East Midlands,Urban,C,1,30,One way street,Dry,Fine,No,Daylight,2010-06-09 11:35:00,2010,1,6,9,3,0.483,1,3,8,T or staggered junction,Approaching junction or waiting/parked at junction approach,Back,Journey as part of work,1597,Petrol,Other,Car,Reversing,Slight,12.0,0,1,0
369,201111ND00931,54.765337,-1.519872,North East England,Rural,A,1,60,Single carriageway,Wet or damp,Fine,No,Daylight,2011-01-08 11:09:00,2011,4,1,8,6,0.465,2,5,15,T or staggered junction,Mid Junction - on roundabout or on main road,Back,Other/Not known,1242,Petrol,Ford,Car,Going ahead,Slight,11.0,0,0,0
370,2010130002740,53.657011,-1.550109,Yorkshire and the Humber,Urban,A,3,30,Single carriageway,Dry,Fine,No,Daylight,2010-04-13 19:42:00,2010,1,4,13,2,0.821,2,2,13,Not at junction or within 20 metres,Not at or within 20 metres of junction,Nearside,Other/Not known,600,Petrol,Honda,Motorcycle,Slowing or stopping,Fatal_Serious,20.0,1,1,1
371,2011120193608,54.383251,-1.446277,Yorkshire and the Humber,Rural,A,8,60,Single carriageway,Dry,Fine,No,Daylight,2011-11-15 13:44:00,2011,3,11,15,2,0.572,2,3,3,T or staggered junction,Mid Junction - on roundabout or on main road,Back,Journey as part of work,2464,Heavy oil,Vauxhall,Van,Turning right,Slight,14.0,0,1,0
372,201301XD80013,51.511964,-0.313629,London,Urban,Unclassified,2,30,Single carriageway,Snow,Snowing,No,Darkness - lights,2013-01-20 19:20:00,2013,4,1,20,7,0.806,2,4,6,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1248,Heavy oil,Vauxhall,Car,Going ahead,Slight,19.0,0,0,0
373,201320G001243,52.575122,-2.1366110000000003,Wast Midlands,Urban,A,4,30,Single carriageway,Wet or damp,Fine,No,Darkness - lights,2013-01-15 19:55:00,2013,4,1,15,2,0.83,2,2,3,Crossroads,Mid Junction - on roundabout or on main road,Front,Other/Not known,1242,Petrol,Ford,Car,Going ahead,Slight,20.0,0,1,0
374,201132D140611,53.229101,-0.536515,East Midlands,Urban,A,8,30,Dual carriageway,Dry,Fine,No,Daylight,2011-05-27 14:20:00,2011,1,5,27,5,0.597,2,3,9,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1397,Petrol,Skoda,Car,Going ahead,Slight,14.0,0,1,0
375,2010331007132,52.559005000000006,-1.185714,East Midlands,Rural,Motorway,3,70,Dual carriageway,Wet or damp,Other,No,Darkness - no lights,2010-12-06 05:45:00,2010,3,12,6,1,0.24,4,2,20,Not at junction or within 20 metres,Not at or within 20 metres of junction,Did not impact,Journey as part of work,1595,Petrol,Honda,Car,Going ahead,Fatal_Serious,6.0,1,1,0
376,2013553D48491,50.739154,-1.748845,South West England,Urban,B,3,30,Single carriageway,Wet or damp,Fine,No,Daylight,2013-11-19 06:40:00,2013,3,11,19,2,0.278,2,3,7,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Commuting to/from work,124,Petrol,Other,Motorcycle,Going ahead,Fatal_Serious,7.0,1,1,1
377,2012030000264,54.117738,-3.20752,North West England,Urban,Unclassified,7,30,Single carriageway,Wet or damp,Other,No,Daylight,2012-02-10 15:30:00,2012,4,2,10,5,0.646,2,1,3,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,49,Petrol,Other,Motorcycle,Slowing or stopping,Slight,16.0,0,1,1
378,201301CW10690,51.500755,-0.126159,London,Urban,A,6,30,One way street,Dry,Fine,No,Daylight,2013-06-02 12:04:00,2013,1,6,2,7,0.503,1,3,11,Crossroads,Approaching junction or waiting/parked at junction approach,Offside,Journey as part of work,125,Petrol,Honda,Motorcycle,Going ahead,Slight,12.0,0,0,1
379,201404WA14053,53.805758999999995,-3.053665,North West England,Urban,B,3,30,Single carriageway,Wet or damp,Raining,No,Darkness - lights,2014-10-31 22:20:00,2014,3,10,31,5,0.931,2,6,5,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Journey as part of work,1997,Heavy oil,Peugeot,Taxi,Going ahead,Slight,22.0,0,1,0
380,2014131891719,53.636531000000005,-1.8055919999999999,Yorkshire and the Humber,Urban,Unclassified,2,30,Single carriageway,Dry,Fine,No,Darkness - lighting unknown,2014-08-09 21:08:00,2014,2,8,9,6,0.881,2,2,3,T or staggered junction,Entering main road,Front,Other/Not known,1198,Petrol,Volkswagen,Car,Turning right,Slight,21.0,0,0,0
381,2010130372649,53.733799,-2.044988,Yorkshire and the Humber,Rural,A,7,30,Single carriageway,Dry,Fine,No,Daylight,2010-09-05 14:55:00,2010,2,9,5,7,0.622,1,5,8,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,781,Petrol,Honda,Motorcycle,Going ahead,Fatal_Serious,15.0,1,0,1
382,2012400BA0030,52.150881,-0.386646,East England,Rural,A,7,70,Dual carriageway,Dry,Fine,No,Darkness - no lights,2012-01-13 18:15:00,2012,4,1,13,5,0.76,3,5,16,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,2290,Petrol,Other,Car,Slowing or stopping,Slight,18.0,0,1,0
383,201201WW50561,51.439121,-0.18695799999999999,London,Urban,A,4,30,Single carriageway,Dry,Fine,No,Darkness - lights,2012-07-15 20:10:00,2012,2,7,15,7,0.84,2,4,10,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1595,Petrol,Volkswagen,Car,Turning right,Slight,20.0,0,0,0
384,2014300009738,53.00818100000001,-1.481472,East Midlands,Rural,A,7,40,Single carriageway,Wet or damp,Fine,No,Darkness - lights,2014-10-10 00:37:00,2014,3,10,10,5,0.026,1,1,7,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,998,Petrol,Citroen,Car,Going ahead,Slight,1.0,0,1,0
385,201130D000240,52.874575,-1.679041,East Midlands,Rural,A,8,40,Single carriageway,Wet or damp,Raining,No,Daylight,2011-03-05 11:44:00,2011,4,3,5,6,0.489,2,4,12,Crossroads,Mid Junction - on roundabout or on main road,Front,Other/Not known,1242,Petrol,Fiat,Car,Going ahead,Slight,12.0,0,0,0
386,201342I396312,51.67732,0.0032450000000000005,East England,Rural,A,7,40,Roundabout,Dry,Fine,No,Darkness - lights,2013-12-12 17:55:00,2013,3,12,12,4,0.747,2,6,4,Roundabout,Entering roundabout,Back,Other/Not known,1598,Petrol,Renault,Car,Waiting to go,Slight,18.0,0,1,0
387,2014404CA0202,51.884663,-0.439251,East England,Urban,Unclassified,3,20,Single carriageway,Dry,Fine,No,Daylight,2014-02-24 12:46:00,2014,4,2,24,1,0.532,2,3,7,T or staggered junction,Cleared junction or waiting/parked at junction exit,Front,Journey as part of work,1896,Heavy oil,Volkswagen,Taxi,Turning right,Slight,13.0,0,1,0
388,201304FG13025,53.839843,-2.206892,North West England,Urban,A,1,30,Single carriageway,Wet or damp,Raining,No,Daylight,2013-04-12 18:15:00,2013,1,4,12,5,0.76,2,4,2,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,1461,Heavy oil,Renault,Car,Slowing or stopping,Slight,18.0,0,1,0
389,2013440341849,51.361002,-1.086471,South East England,Rural,Unclassified,10,60,Single carriageway,Wet or damp,Raining,No,Daylight,2013-09-08 14:28:00,2013,2,9,8,7,0.603,2,4,12,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,1984,Petrol,Volkswagen,Car,Going ahead,Slight,14.0,0,0,0
390,2013460223236,51.427149,0.35030300000000003,South East England,Urban,C,7,30,Single carriageway,Dry,Fine,No,Darkness - lights,2013-01-16 18:35:00,2013,4,1,16,3,0.774,2,2,10,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1199,Petrol,Vauxhall,Car,Going ahead,Slight,19.0,0,1,0
391,201242I241507,51.898127,0.9163190000000001,East England,Urban,Unclassified,6,30,Single carriageway,Dry,Fine,No,Daylight,2012-07-27 07:34:00,2012,2,7,27,5,0.315,2,4,6,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Journey as part of work,1242,Petrol,Ford,Car,Moving off,Slight,8.0,0,1,0
